127.0.0.1 - - [03/Jun/2021:13:30:04 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:08 +0530] "GET /Project03/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:08 +0530] "GET /Project03/img/image.png HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:08 +0530] "GET /Project03/img/img.jpeg HTTP/1.1" 200 26050
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:09 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:11 +0530] "GET /Project03/WelcomeCtl HTTP/1.1" 200 5700
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:11 +0530] "GET /Project03/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:11 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:12 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:18 +0530] "GET /Project03/LoginCtl HTTP/1.1" 200 8286
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:18 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:18 +0530] "GET /Project03/img/architech.jpg HTTP/1.1" 200 558090
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:27 +0530] "POST /Project03/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:27 +0530] "GET /Project03/WelcomeCtl HTTP/1.1" 200 12674
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:27 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:27 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:31 +0530] "GET /Project03/ctl/MarksheetCtl HTTP/1.1" 200 19665
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:31 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:44 +0530] "POST /Project03/ctl/MarksheetCtl HTTP/1.1" 200 19903
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:45 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:57 +0530] "GET /Project03/ctl/MarksheetCtl HTTP/1.1" 200 19665
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:30:57 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:31:00 +0530] "POST /Project03/ctl/MarksheetCtl HTTP/1.1" 200 19745
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:31:00 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:32:35 +0530] "GET /Project03/ctl/MarksheetCtl HTTP/1.1" 200 19665
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:32:35 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:32:45 +0530] "POST /Project03/ctl/MarksheetCtl HTTP/1.1" 200 19904
0:0:0:0:0:0:0:1 - - [03/Jun/2021:13:32:45 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:02:46 +0530] "GET /Project03/LoginCtl?operation=logout HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:02:46 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:37:45 +0530] "GET /Project03/ForgetPasswordCtl HTTP/1.1" 200 7328
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:37:45 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:37:45 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:38:13 +0530] "POST /Project03/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:38:13 +0530] "GET /Project03/ForgetPasswordCtl HTTP/1.1" 200 7328
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:38:13 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:38:13 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:38:17 +0530] "GET /Project03/LoginCtl HTTP/1.1" 200 8286
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:38:17 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:38:30 +0530] "POST /Project03/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:38:30 +0530] "GET /Project03/WelcomeCtl HTTP/1.1" 200 12674
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:38:30 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [03/Jun/2021:14:38:30 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
