0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:10 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:11 +0530] "POST /Project03/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:11 +0530] "GET /Project03/ctl/TimeTableListCtl HTTP/1.1" 200 26560
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:11 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:14 +0530] "GET /Project03/ctl/StudentListCtl HTTP/1.1" 200 26741
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:14 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:19 +0530] "POST /Project03/ctl/StudentListCtl HTTP/1.1" 200 15243
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:19 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:21 +0530] "POST /Project03/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:21 +0530] "GET /Project03/ctl/StudentListCtl HTTP/1.1" 200 26741
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:21 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:24 +0530] "POST /Project03/ctl/StudentListCtl HTTP/1.1" 200 20254
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:25 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:27 +0530] "POST /Project03/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:27 +0530] "GET /Project03/ctl/StudentListCtl HTTP/1.1" 200 26741
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:27 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:30 +0530] "POST /Project03/ctl/StudentListCtl HTTP/1.1" 200 20242
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:30 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:31 +0530] "POST /Project03/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:31 +0530] "GET /Project03/ctl/StudentListCtl HTTP/1.1" 200 26741
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:31 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:35 +0530] "GET /Project03/ctl/CourseListCtl HTTP/1.1" 200 23473
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:35 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:39 +0530] "POST /Project03/ctl/CourseListCtl HTTP/1.1" 200 17486
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:39 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:41 +0530] "POST /Project03/ctl/CourseListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:41 +0530] "GET /Project03/ctl/CourseListCtl HTTP/1.1" 200 23473
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:41 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:45 +0530] "GET /Project03/ctl/CollegeListCtl HTTP/1.1" 200 23125
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:45 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:48 +0530] "POST /Project03/ctl/CollegeListCtl HTTP/1.1" 200 17587
